Date,Product,Region,Units_Sold,Revenue
2025-01-01,Smartwatch,West,11,1650
2025-01-02,Tablet,East,41,12300
2025-01-03,Laptop,South,20,14000
2025-01-04,Smartwatch,North,10,1500
2025-01-05,Headphones,East,22,1760
2025-01-06,Headphones,East,37,2960
2025-01-07,Headphones,South,39,3120
2025-01-08,Laptop,West,21,14700
2025-01-09,Tablet,West,14,4200
2025-01-10,Phone,South,6,2400
2025-01-11,Smartwatch,South,25,3750
2025-01-12,Phone,North,13,5200
2025-01-13,Tablet,North,7,2100
2025-01-14,Laptop,West,35,24500
2025-01-15,Smartwatch,East,13,1950
2025-01-16,Laptop,North,8,5600
2025-01-17,Tablet,West,26,7800
2025-01-18,Laptop,North,38,26600
2025-01-19,Laptop,East,48,33600
2025-01-20,Phone,North,31,12400
2025-01-21,Smartwatch,North,31,4650
2025-01-22,Phone,West,33,13200
2025-01-23,Laptop,West,44,30800
2025-01-24,Phone,North,11,4400
2025-01-25,Headphones,North,17,1360
2025-01-26,Tablet,South,18,5400
2025-01-27,Smartwatch,East,30,4500
2025-01-28,Tablet,South,10,3000
2025-01-29,Smartwatch,North,6,900
2025-01-30,Phone,North,43,17200
